DAY 13 - RATIO EDGE CASES
============================================================
BHEL Mar 2020 ROE Difference = 6.17 (Source=1.05, Engine=-5.12) | Category: Source data issue
BHEL Mar 2021 ROE Difference = 11.44 (Source=1.05, Engine=-10.39) | Category: Source data issue
BHEL Mar 2021 ROCE Difference = 13.14 (Source=3.28, Engine=-9.86) | Category: Source data issue
BOSCHLTD Mar 2015 ROCE Difference = 5.96 (Source=20.6, Engine=26.56) | Category: Source data issue
BOSCHLTD Mar 2020 ROE Difference = 8.99 (Source=16.0, Engine=7.01) | Category: Source data issue
BOSCHLTD Mar 2021 ROE Difference = 11.09 (Source=16.0, Engine=4.91) | Category: Source data issue
BOSCHLTD Mar 2021 ROCE Difference = 8.83 (Source=20.6, Engine=11.77) | Category: Source data issue
BOSCHLTD Mar 2022 ROCE Difference = 7.01 (Source=20.6, Engine=13.59) | Category: Source data issue
BPCL Mar 2013 ROE Difference = 30.36 (Source=41.9, Engine=11.54) | Category: Source data issue
BPCL Mar 2013 ROCE Difference = 18.66 (Source=32.1, Engine=13.44) | Category: Source data issue
BPCL Mar 2014 ROE Difference = 21.05 (Source=41.9, Engine=20.85) | Category: Source data issue
